ShortName,FullName,RF_Importance,GBDT_Importance
不对称指数,Static_AsymmetryIndex_不对称指数,0.0905778284167786,0.0669400061177536
长轴,Static_MajorAxisLength_长轴像素长度,0.0873196723528511,0.21045996218605
坚实度,Static_Solidity_坚实度,0.0651820260775736,0.0428551581373939
Hu6,Static_Hu6,0.0648622239354004,0.0993913664950036
Hu5,Static_Hu5,0.0596255190620174,0.0312039814329868
周长,Static_Perimeter_轮廓周长,0.0587873207740163,0.0632715319380139
圆形度,Static_Circularity_圆形度,0.0581354515030087,0.161026191189345
Hu4,Static_Hu4,0.057284393204782,0.0135312337238476
长轴偏移率,Static_MajorAxisOffsetRatio_长轴偏移率,0.0558407299640895,0.0273478647691893
Hu1,Static_Hu1,0.0530495614986921,0.0264037349457617
延展度,Static_Extent_延展度,0.0473884395418893,0.0845032199158422
Hu7,Static_Hu7,0.0444281531902667,0.0713094197077428
Hu3,Static_Hu3,0.043816469401182,0.0458813247200417
ESI,Static_ShapeIndex_机器视觉ESI,0.0434770764341183,0.00282875467807692
短轴,Static_MinorAxisLength_短轴像素长度,0.0433470027350708,0.00423310463525858
离心率,Static_Eccentricity_离心率,0.0381546400291559,0.0209891268180939
等效直径,Static_EquivalentDiameter_等效圆直径,0.0303705509763603,0
面积,Static_Area_像素面积,0.0292171791468926,0.0278240185895989
Hu2,Static_Hu2,0.0291357617558546,0
